time,pna,ea,wa,wp,eu,soi,esoi,nino12,nino34,nino4
54765.5,-9.14563,-141.31091,-189.86694,-245.87915,-93.287476,433.42188,78.828125,26.2446,26.221142,26.372398
54795.0,64.154175,-59.210327,-249.79907,-177.06421,-38.038452,178.13281,156.26562,26.724821,26.12469,26.547335
54824.5,28.718628,-47.58618,-253.49878,-248.53955,12.300903,250.69531,83.39844,26.958704,26.418766,26.888586
54855.0,56.89966,-128.17908,-190.53833,-172.0957,41.599854,411.20312,128.3125,26.872984,27.35841,27.65659
54885.5,39.677734,-110.72522,-188.04199,-157.6914,24.928467,157.28125,190.75,23.50385,26.982594,27.569984
54916.0,25.896606,-89.76062,-151.65991,-172.57935,-55.000854,217.86719,156.4375,22.343071,26.686993,27.580475
54946.5,-29.106323,-153.62646,-165.77197,-160.19946,-82.13782,411.2422,297.03125,21.581213,26.222736,27.138865
54977.5,-63.95862,-122.08618,-180.2312,-136.83545,-29.414917,395.52344,221.57031,20.751394,25.254362,26.22475
55008.0,-50.450928,-157.68604,-192.00073,-185.37207,-21.719482,279.28125,204.90625,21.290632,24.97826,26.104218
55038.5,37.8125,-98.57861,-235.27563,-257.94653,-7.909546,475.65625,252.50781,21.65686,24.898895,25.917799
55069.0,-0.92736816,-121.92261,-267.39575,-284.95386,-41.969604,394.59375,274.0625,22.420227,24.986803,25.863615
55099.5,16.766235,-149.30798,-263.85327,-212.7041,39.529663,273.22656,367.40625,23.06922,25.05641,25.878904
55130.5,47.062866,-182.6659,-349.4724,-207.2456,2.7728271,256.10938,280.53125,25.428896,24.907291,25.31591
55160.0,2.3156738,-198.43579,-286.58032,-218.24731,56.0636,134.30469,117.33594,26.04523,25.322248,25.398092
55189.5,-43.801147,-104.636475,-346.8662,-229.29663,-0.2647705,60.125,102.77344,26.898527,25.234966,25.879385
55220.0,1.7132568,-137.11975,-165.40991,-276.92627,-59.09497,344.34375,201.36719,25.696144,26.242052,26.542906
55250.5,36.651123,-91.1875,-146.37427,-119.591064,-4.335327,280.78125,405.07812,20.52669,26.293655,26.83357
55281.0,20.910278,-86.253296,-165.09326,-182.88867,7.5615234,276.03906,413.40625,20.487494,25.863451,26.611689
55311.5,8.903442,-86.71362,-137.5039,-120.656494,-12.576538,415.51562,537.16406,20.17903,24.798939,25.759724
55342.5,-35.456787,-125.26062,-198.93579,-168.83325,-20.440063,557.7344,472.39062,19.346558,23.754568,24.95673
55373.0,-43.506226,-96.42334,-208.521,-154.00146,-63.99109,400.66406,420.77344,19.752096,23.197048,24.375856
55403.5,-26.730103,-120.55188,-147.40356,-296.96777,-25.240356,505.46875,463.97656,20.601194,23.028141,23.715895
55434.0,-40.686768,-51.430176,-209.0603,-312.76318,16.0,302.97656,228.38281,21.635458,23.272266,23.803816
55464.5,-4.7999268,-133.4591,-236.67578,-236.3899,5.5042725,299.53906,352.14062,23.352577,23.467295,24.078602
55495.5,-27.109009,-19.86731,-172.21143,-197.5332,11.189575,140.57812,320.98438,25.592157,24.243107,24.520555
55525.0,12.677856,-123.79089,-176.98584,-67.25928,60.99243,4.734375,209.34375,26.662188,25.060266,25.032192
55554.5,30.005615,-77.421875,-249.1582,-226.37915,1.7340088,102.74219,244.28125,26.49838,25.274822,25.489428
55585.0,6.5965576,-99.4314,-179.89331,-295.4292,39.990723,213.69531,158.61719,26.434547,25.704119,26.08779
55615.5,18.114258,-110.02246,-209.85327,-223.32007,-59.32837,277.8203,183.60156,24.886078,26.574425,26.991354
55646.0,-30.572266,-172.77075,-173.78516,-177.98267,-67.63757,433.04688,353.52344,23.122375,26.81141,27.16947
55676.5,-62.921387,-110.63574,-172.20923,-117.012695,-21.210083,364.8672,257.7422,22.905138,26.194658,26.709923
55707.5,-56.13965,-94.895996,-162.08154,-176.67627,-71.97864,476.6328,271.625,22.599712,25.198011,26.120989
55738.0,-19.56189,-133.05115,-132.0918,-197.91211,-2.267456,432.17188,139.71094,22.188026,24.992434,25.926239
55768.5,-21.146118,-172.05127,-206.52563,-282.0459,-53.95117,374.0547,174.48438,22.699173,25.130938,26.00317
55799.0,17.810791,-133.82373,-249.04443,-324.87158,-28.230713,369.3047,256.8672,23.128428,25.082417,25.626472
55829.5,39.029907,-86.82568,-269.67285,-304.03833,30.259277,271.41406,342.5,23.437681,25.29082,25.85748
55860.5,10.897339,21.032227,-266.47803,-311.55786,52.068848,248.3125,142.86719,25.515148,25.830612,26.08832
55890.0,81.768555,-106.76233,-286.24487,-203.57568,16.451904,145.49219,137.35938,26.113195,26.072338,26.375813
55919.5,12.337036,-124.01526,-279.6184,-140.5083,-49.55432,229.91406,107.09375,26.625563,26.109669,26.564074
55950.0,-9.474731,-48.719482,-262.8059,-147.05762,-34.788452,303.67188,173.88281,25.73407,26.741467,27.290562
55980.5,11.711548,-117.563354,-166.4397,-230.4126,-36.723022,206.25781,222.46875,22.684015,27.067142,27.46513
